0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Study,Treatment,Virus,VirusID,AssayID,Lab,Poscrit,VRC01.23LS 0.5mg/ml,VRC01.23LS 0.1mg/ml,PGT151,VRC34.01 ,CAP248-2B,ACS202,VRC01,CH01-31,PGT151_4A/293i,CH235.12,VRC34.01,1-18,VRC01.23LS
H704,a,H704_0726_080sN,AMP12,SM02-13; TP02-131,a,50%,0.466,0.737,>25,>25,>25,>25,5.07,14.176,,,,,
H704,a,H704_1535_030sN,AMP14,SM02-14; TP02-132,a,50%,0.018,0.018,0.197,0.391,0.334,0.512,0.108,0.099,,,,,
H704,a,H704_0911_150sN,AMP16,SM02-15; TP02-133,a,50%,1.525,1.341,3.99,>25,>25,>25,1.68,6.241,,,,,
H704,a,H704_0907_130sN,AMP18,SM02-16; TP02-134,a,50%,0.019,0.021,0.017,0.25,>25,0.236,0.411,1.037,,,,,
H704,a,H704_1429_090_eN1A,AMP28,SM02-17; TP02-135,a,50%,0.078,0.097,4.01,>25,>25,>25,0.333,0.429,,,,,
H704,a,H704_1429_090_eN2G,AMP30,SM02-18; TP02-136,a,50%,0.122,0.135,4.52,>25,>25,>25,0.326,0.525,,,,,
H704,a,H704_0496_040sN,AMP41,SM02-19; TP02-137,a,50%,0.601,0.645,>25,>25,>25,>25,5.16,1.324,,,,,
H704,a,H704_2788_060eN_12,AMP46,SM02-20; TP02-138,a,50%,0.284,0.327,16.77,>25,>25,>25,1.74,1.895,,,,,
H704,a,H704_2767_070sN,AMP58,SM02-21; TP02-139,a,50%,0.068,0.081,0.038,>25,>25,>25,2.62,>25,,,,,
H704,a,H704_2788_060eN_04,AMP68,SM02-22; TP02-140,a,50%,0.277,0.288,2.78,>25,>25,>25,1.35,1.987,,,,,
H704,a,H704_1706_050sN,AMP285,SM02-23; TP02-141,a,50%,0.058,0.088,>25,>25,>25,>25,0.261,0.571,,,,,
H704,a,H704_0644_060sN_prelimSeq,AMP105,SM02-24; TP02-142; TP02-204,a,50%,0.279,0.288,>25,5.728,>25,>25,0.849,14.11,,,,,
H704,a,H704_0847_030_EsN_02C,AMP88,SM02-25; TP02-143; TP02-205,a,50%,0.161,0.169,>25,>25,1.448,>25,2.102,3.823,,,,,
H704,a,H704_1775_030cN_SynGtoA_567,AMP93,SM02-26; TP02-144,a,50%,0.031,0.041,0.112,>25,>25,>25,0.07,1.289,,,,,
H704,a,H704_2544_140eN02,AMP95,SM02-27; TP02-145,a,50%,0.494,0.548,0.059,>25,17.994,>25,5.881,>25,,,,,
H704,a,H704_0847_030_EsN_01T,AMP102,SM02-28; TP02-146,a,50%,0.053,0.042,>25,>25,0.041,>25,1.925,1.974,,,,,
H704,a,H704_0855_080_EsN,AMP98,SM02-29; TP02-147,a,50%,<0.0003,0.002,0.007,>25,>25,>25,0.023,0.268,,,,,
H704,a,H704_0575_060_EsN1A,AMP114,SM02-30; TP02-148,a,50%,0.652,0.483,>25,0.657,>25,0.083,2.528,2.063,,,,,
H704,a,H704_0575_060_EsN2T,AMP116,SM02-31; TP02-149,a,50%,0.771,0.73,>25,>25,>25,0.157,1.806,3.167,,,,,
H704,a,H704_2544_140eN01,AMP118,SM02-32; TP02-150,a,50%,0.136,0.176,>25,>25,>25,>25,0.734,2.104,,,,,
H704,a,H704_3008_040EsN,AMP124,TP02-151,a,50%,0.025,,>25,>25,>25,>25,2.424,,,,,,
H704,a,H704_0513_150_eN02C,AMP139,TP02-152,a,50%,0.387,,0.044,>25,>25,>25,1.588,,,,,,
H704,a,H704_0513_150_eN01T,AMP143,TP02-153,a,50%,0.329,,0.49,>25,>25,>25,1.289,,,,,,
H704,a,H704_1183_220EsN,AMP148,TP02-154,a,50%,0.038,,3.666,>25,>25,0.228,0.61,,,,,,
H704,a,H704_1180_070EsN,AMP150,TP02-155; TP02-206,a,50%,0.013,,0.009,0.283,0.114,0.273,0.122,,,,,,
H704,a,H704_2541_080EsN,AMP164,TP02-156,a,50%,0.025,,0.048,0.477,>25,>25,0.269,,,,,,
H704,a,H704_2448_240_RE_cs,AMP166,TP02-157,a,50%,0.01,,>25,>25,>25,7.416,0.067,,,,,,
H704,a,H704_1783_150_RE_cs,AMP167,TP02-158; TP02-207,a,50%,0.009,,0.06,>25,>25,0.353,0.079,,,,,,
H704,a,H704_2095_130_RE_cs,AMP173,TP02-159,a,50%,0.031,,0.147,>25,>25,>25,0.182,,,,,,
H704,a,H704_0944_180_RE_cs,AMP175,TP02-160,a,50%,0.007,,0.367,>25,>25,>25,0.04,,,,,,
H704,a,H704_2839_140_RE_cs,AMP171,TP02-161,a,50%,0.346,,>25,1.771,>25,1.486,2.159,,,,,,
H704,a,H704_1109_140_RE_cs,AMP179,TP02-162,a,50%,2.455,,>25,>25,>25,>25,3.626,,,,,,
H704,a,H704_0575_060_RE_p002s,AMP181,TP02-163,a,50%,0.615,,>25,0.239,>25,0.039,1.993,,,,,,
H704,a,H704_0746_760_RE_p001s,AMP182,TP02-169,a,50%,0.122,,>25,>25,>25,>25,0.994,,,,,,
H704,a,H704_0746_760_RE_p002s,AMP183,TP02-170,a,50%,0.15,,>25,>25,>25,>25,0.977,,,,,,
H704,a,H704_0746_760_RE_p003s,AMP184,TP02-171,a,50%,0.189,,>25,>25,>25,>25,1.579,,,,,,
H704,a,H704_1835_150_RE_p001s_2484A,AMP192,TP02-172,a,50%,0.041,,0.112,0.412,>25,0.113,>25,,,,,,
H704,a,H704_1835_150_RE_p002s_2484A,AMP193,TP02-173,a,50%,0.052,,0.146,0.314,>25,0.101,>25,,,,,,
H704,a,H704_1991_230_RE_p001s_1194T,AMP194,TP02-174,a,50%,0.171,,0.373,>25,>25,0.128,1.348,,,,,,
H704,a,H704_1991_230_RE_p002s_1194T,AMP195,TP02-175; TP02-209,a,50%,0.14,,>25,>25,>25,0.12,1.502,,,,,,
